Received data - ID: 41, Velocity: 467.000000 m/s, Distance: 6334.000000 meters, ETI = 13563.169922 ms, Latency = 3 microseconds
Received data - ID: 78, Velocity: 358.000000 m/s, Distance: 6962.000000 meters, ETI = 19446.927734 ms, Latency = 3 microseconds
Received data - ID: 64, Velocity: 705.000000 m/s, Distance: 8145.000000 meters, ETI = 11553.191406 ms, Latency = 4 microseconds
Received data - ID: 81, Velocity: 827.000000 m/s, Distance: 9961.000000 meters, ETI = 12044.739258 ms, Latency = 10 microseconds
Received data - ID: 91, Velocity: 995.000000 m/s, Distance: 1942.000000 meters, ETI = 1951.758789 ms, Latency = 3 microseconds
Received data - ID: 27, Velocity: 436.000000 m/s, Distance: 2391.000000 meters, ETI = 5483.944824 ms, Latency = 5 microseconds
Received data - ID: 4, Velocity: 902.000000 m/s, Distance: 153.000000 meters, ETI = 169.623062 ms, Latency = 6 microseconds
Received data - ID: 92, Velocity: 382.000000 m/s, Distance: 7421.000000 meters, ETI = 19426.703125 ms, Latency = 9 microseconds
Received data - ID: 16, Velocity: 718.000000 m/s, Distance: 9895.000000 meters, ETI = 13781.336914 ms, Latency = 5 microseconds
Received data - ID: 47, Velocity: 726.000000 m/s, Distance: 4771.000000 meters, ETI = 6571.625000 ms, Latency = 6 microseconds
Received data - ID: 38, Velocity: 869.000000 m/s, Distance: 9912.000000 meters, ETI = 11406.213867 ms, Latency = 3 microseconds
Received data - ID: 94, Velocity: 703.000000 m/s, Distance: 3811.000000 meters, ETI = 5421.052246 ms, Latency = 4 microseconds
Received data - ID: 53, Velocity: 868.000000 m/s, Distance: 5547.000000 meters, ETI = 6390.553223 ms, Latency = 9 microseconds
Received data - ID: 44, Velocity: 662.000000 m/s, Distance: 2757.000000 meters, ETI = 4164.652344 ms, Latency = 4 microseconds
Received data - ID: 37, Velocity: 859.000000 m/s, Distance: 8723.000000 meters, ETI = 10154.831055 ms, Latency = 7 microseconds
Received data - ID: 41, Velocity: 529.000000 m/s, Distance: 778.000000 meters, ETI = 1470.699463 ms, Latency = 5 microseconds
Received data - ID: 40, Velocity: 942.000000 m/s, Distance: 9264.000000 meters, ETI = 9834.394531 ms, Latency = 6 microseconds
